Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,78,7,Some Random Commen with Id 0
1,0,8,116,6,Some Random Commen with Id 1
2,1,7,38,5,Some Random Commen with Id 2
3,1,7,111,3,Some Random Commen with Id 3
4,1,7,72,0,Some Random Commen with Id 4
5,2,1,1,6,Some Random Commen with Id 5
6,2,1,7,2,Some Random Commen with Id 6
7,3,7,93,3,Some Random Commen with Id 7
8,5,7,11,7,Some Random Commen with Id 8
9,5,7,7,8,Some Random Commen with Id 9
10,5,7,130,8,Some Random Commen with Id 10
11,5,7,155,5,Some Random Commen with Id 11
12,5,7,60,8,Some Random Commen with Id 12
13,5,7,158,2,Some Random Commen with Id 13
14,5,7,110,1,Some Random Commen with Id 14
15,5,7,185,9,Some Random Commen with Id 15
16,6,2,65,7,Some Random Commen with Id 16
17,6,2,141,4,Some Random Commen with Id 17
18,7,2,87,5,Some Random Commen with Id 18
19,7,2,2,6,Some Random Commen with Id 19
20,7,2,174,1,Some Random Commen with Id 20
21,7,2,120,1,Some Random Commen with Id 21
22,8,0,130,8,Some Random Commen with Id 22
23,8,0,156,8,Some Random Commen with Id 23
24,8,0,126,1,Some Random Commen with Id 24
25,8,0,24,7,Some Random Commen with Id 25
26,8,0,72,3,Some Random Commen with Id 26
27,8,0,50,1,Some Random Commen with Id 27
28,8,0,91,9,Some Random Commen with Id 28
29,8,0,177,6,Some Random Commen with Id 29
30,8,0,187,0,Some Random Commen with Id 30
31,9,7,62,7,Some Random Commen with Id 31
32,10,0,179,0,Some Random Commen with Id 32
33,10,0,102,2,Some Random Commen with Id 33
34,10,0,130,3,Some Random Commen with Id 34
35,10,0,41,6,Some Random Commen with Id 35
36,10,0,43,2,Some Random Commen with Id 36
37,10,0,13,4,Some Random Commen with Id 37
38,10,0,51,7,Some Random Commen with Id 38
39,10,0,180,8,Some Random Commen with Id 39
40,11,1,126,8,Some Random Commen with Id 40
41,11,1,79,7,Some Random Commen with Id 41
42,11,1,196,0,Some Random Commen with Id 42
43,11,1,68,1,Some Random Commen with Id 43
44,11,1,87,6,Some Random Commen with Id 44
45,11,1,94,8,Some Random Commen with Id 45
46,11,1,143,5,Some Random Commen with Id 46
47,12,5,136,2,Some Random Commen with Id 47
48,12,5,18,5,Some Random Commen with Id 48
49,12,5,94,0,Some Random Commen with Id 49
50,12,5,198,3,Some Random Commen with Id 50
51,12,5,89,9,Some Random Commen with Id 51
52,13,9,115,7,Some Random Commen with Id 52
53,13,9,157,5,Some Random Commen with Id 53
54,13,9,134,5,Some Random Commen with Id 54
55,14,5,180,6,Some Random Commen with Id 55
56,14,5,1,6,Some Random Commen with Id 56
57,16,1,13,0,Some Random Commen with Id 57
58,16,1,59,9,Some Random Commen with Id 58
59,17,3,83,8,Some Random Commen with Id 59
60,17,3,49,6,Some Random Commen with Id 60
61,18,7,68,4,Some Random Commen with Id 61
62,18,7,45,3,Some Random Commen with Id 62
63,18,7,138,8,Some Random Commen with Id 63
64,18,7,80,7,Some Random Commen with Id 64
65,18,7,63,7,Some Random Commen with Id 65
66,18,7,131,9,Some Random Commen with Id 66
67,18,7,84,8,Some Random Commen with Id 67
68,18,7,54,1,Some Random Commen with Id 68
69,19,8,67,6,Some Random Commen with Id 69
70,19,8,45,1,Some Random Commen with Id 70
71,19,8,123,1,Some Random Commen with Id 71
72,19,8,145,7,Some Random Commen with Id 72
73,19,8,154,4,Some Random Commen with Id 73
74,20,3,97,4,Some Random Commen with Id 74
75,20,3,9,4,Some Random Commen with Id 75
76,20,3,18,3,Some Random Commen with Id 76
77,20,3,60,4,Some Random Commen with Id 77
78,20,3,149,3,Some Random Commen with Id 78
79,20,3,3,8,Some Random Commen with Id 79
80,20,3,145,2,Some Random Commen with Id 80
81,20,3,193,7,Some Random Commen with Id 81
82,20,3,31,5,Some Random Commen with Id 82
83,21,3,32,1,Some Random Commen with Id 83
84,21,3,171,9,Some Random Commen with Id 84
85,21,3,15,7,Some Random Commen with Id 85
86,21,3,1,8,Some Random Commen with Id 86
87,22,7,140,9,Some Random Commen with Id 87
88,22,7,113,2,Some Random Commen with Id 88
89,22,7,158,6,Some Random Commen with Id 89
90,22,7,0,9,Some Random Commen with Id 90
91,22,7,62,1,Some Random Commen with Id 91
92,22,7,65,3,Some Random Commen with Id 92
93,22,7,71,1,Some Random Commen with Id 93
94,22,7,75,8,Some Random Commen with Id 94
95,22,7,54,5,Some Random Commen with Id 95
96,23,9,25,6,Some Random Commen with Id 96
97,23,9,154,9,Some Random Commen with Id 97
98,23,9,138,6,Some Random Commen with Id 98
99,24,2,83,5,Some Random Commen with Id 99
100,24,2,198,5,Some Random Commen with Id 100
101,24,2,139,5,Some Random Commen with Id 101
102,24,2,171,9,Some Random Commen with Id 102
103,24,2,150,2,Some Random Commen with Id 103
104,25,9,115,0,Some Random Commen with Id 104
105,25,9,96,3,Some Random Commen with Id 105
106,25,9,127,7,Some Random Commen with Id 106
107,26,6,168,8,Some Random Commen with Id 107
108,26,6,124,4,Some Random Commen with Id 108
109,26,6,188,7,Some Random Commen with Id 109
110,26,6,123,2,Some Random Commen with Id 110
111,26,6,79,8,Some Random Commen with Id 111
112,26,6,158,4,Some Random Commen with Id 112
113,27,4,108,4,Some Random Commen with Id 113
114,28,9,59,4,Some Random Commen with Id 114
115,28,9,109,1,Some Random Commen with Id 115
116,28,9,140,0,Some Random Commen with Id 116
117,28,9,144,7,Some Random Commen with Id 117
118,28,9,126,2,Some Random Commen with Id 118
119,29,4,8,1,Some Random Commen with Id 119
120,29,4,26,2,Some Random Commen with Id 120
121,29,4,88,0,Some Random Commen with Id 121
122,29,4,136,5,Some Random Commen with Id 122
123,29,4,41,5,Some Random Commen with Id 123
124,29,4,181,7,Some Random Commen with Id 124
125,30,9,172,1,Some Random Commen with Id 125
126,30,9,72,9,Some Random Commen with Id 126
127,30,9,129,0,Some Random Commen with Id 127
128,30,9,164,8,Some Random Commen with Id 128
129,30,9,159,6,Some Random Commen with Id 129
130,30,9,2,8,Some Random Commen with Id 130
131,30,9,1,4,Some Random Commen with Id 131
132,30,9,87,6,Some Random Commen with Id 132
133,31,2,140,6,Some Random Commen with Id 133
134,31,2,9,3,Some Random Commen with Id 134
135,31,2,48,4,Some Random Commen with Id 135
136,31,2,137,5,Some Random Commen with Id 136
137,31,2,7,6,Some Random Commen with Id 137
138,32,4,160,9,Some Random Commen with Id 138
